1 - Joser;cliente.php;Mostrar clientes;20-03-2024;08:15:46
1 - Joser;usuario.php;Mostrar usuarios;20-03-2024;08:16:11
1 - Joser;usuario.php;Mostrar usuarios;20-03-2024;08:18:22
1 - Joser;usuario.php;Mostrar usuarios;20-03-2024;08:19:55
1 - Joser;usuario.php;Mostrar usuarios;20-03-2024;08:20:12
1 - Joser;usuario.php;Mostrar usuarios;20-03-2024;08:20:28
1 - Joser;usuario.php;Mostrar usuarios;20-03-2024;08:21:08
1 - Joser;usuario.php;Mostrar usuarios;20-03-2024;08:27:10
1 - Joser;usuario.php;Mostrar usuarios;20-03-2024;08:28:29
1 - Joser;usuario.php;Mostrar usuarios;20-03-2024;09:39:11
1 - Joser;usuario.php;Mostrar usuarios;20-03-2024;09:44:40
