1 - Joser; Archivo: tiposAloja_Edu.php; Acción: Se edita el tipo de alojamiento 9; Fecha: 08-08-2024; Hora: 09:02:36
1 - Joser; Archivo: tiposAloja_Edu.php; Acción: Lista los tipos de alojamiento ; Fecha: 08-08-2024; Hora: 09:02:36
1 - Joser; Archivo: tiposAloja_Edu.php; Acción: Lista los tipos de alojamiento ; Fecha: 08-08-2024; Hora: 09:16:05
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 09:16:43
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 09:18:07
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 09:18:48
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Se inserta un nuevo tipo de contrato; Fecha: 08-08-2024; Hora: 09:18:55
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 09:19:43
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Se inserta un nuevo tipo de contrato; Fecha: 08-08-2024; Hora: 09:19:46
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 09:39:48
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 09:41:58
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Se inserta un nuevo tipo de contrato; Fecha: 08-08-2024; Hora: 09:42:05
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 09:42:06
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 09:57:00
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 09:57:13
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Se edita el tipo de contrato ; Fecha: 08-08-2024; Hora: 09:57:19
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 09:57:19
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 09:57:21
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 09:58:23
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Se edita el tipo de contrato ; Fecha: 08-08-2024; Hora: 09:58:26
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 09:58:26
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 09:59:23
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Se edita el tipo de contrato 3; Fecha: 08-08-2024; Hora: 10:00:29
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 10:00:29
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 10:01:31
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 10:01:31
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 10:01:32
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 10:02:18
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 10:02:20
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 10:02:26
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 10:16:23
1 - Joser; Archivo: tiposContrato_Edu.php; Acción: Lista los tipos de contrato; Fecha: 08-08-2024; Hora: 10:16:25
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 10:19:02
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 10:48:22
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 10:49:16
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 10:53:02
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 10:53:33
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 10:53:40
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 10:53:45
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 10:53:52
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 10:53:57
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 10:54:04
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 10:55:21
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 10:58:00
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 10:58:03
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 10:58:38
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 10:59:08
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:00:20
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:00:45
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:12:39
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:14:32
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:14:49
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:19:22
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:22:25
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:23:57
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:25:53
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:27:01
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:27:12
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:27:37
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:28:00
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:29:06
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:29:26
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:29:59
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:30:21
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:30:41
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:31:04
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:34:07
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:36:45
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Se inserta un nuevo tipo de curso; Fecha: 08-08-2024; Hora: 11:36:58
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:37:04
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:37:43
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Se inserta un nuevo tipo de curso; Fecha: 08-08-2024; Hora: 11:38:28
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:45:19
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:47:32
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Se inserta un nuevo tipo de curso; Fecha: 08-08-2024; Hora: 11:48:04
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:48:07
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:49:04
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Se inserta un nuevo tipo de curso; Fecha: 08-08-2024; Hora: 11:49:10
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:51:44
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:51:49
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Se inserta un nuevo tipo de curso; Fecha: 08-08-2024; Hora: 11:51:54
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:51:54
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:55:54
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:56:10
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:56:20
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:56:41
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:57:07
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:57:15
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:57:53
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:59:16
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:59:26
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 11:59:49
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:01:11
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:01:28
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:01:38
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:01:43
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:01:59
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:02:42
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:02:49
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 08-08-2024; Hora: 12:03:06
