1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 09-08-2024; Hora: 09:19:09
1 - Joser; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 09-08-2024; Hora: 10:15:44
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:25:26
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:31:21
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:36:42
1 - Joser; Archivo: idiomas.php; Acción: Se inserta un nuevo idioma ; Fecha: 09-08-2024; Hora: 10:36:49
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:36:49
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:39:24
1 - Joser; Archivo: idiomas.php; Acción: Se inserta un nuevo idioma ; Fecha: 09-08-2024; Hora: 10:39:27
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:39:27
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:49:23
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:49:45
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:49:55
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:50:38
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:54:39
1 - Joser; Archivo: idiomas.php; Acción: Se edita el idioma ; Fecha: 09-08-2024; Hora: 10:54:48
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:54:48
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:54:51
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:55:10
1 - Joser; Archivo: idiomas.php; Acción: Se edita el idioma 7; Fecha: 09-08-2024; Hora: 10:55:18
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:55:18
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:55:44
1 - Joser; Archivo: idiomas.php; Acción: Se edita el idioma 7; Fecha: 09-08-2024; Hora: 10:55:47
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:55:47
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:59:06
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:59:08
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:59:09
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:59:39
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:59:41
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 10:59:41
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 11:29:28
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 11:29:50
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 11:29:52
1 - Joser; Archivo: idiomas.php; Acción: Lista los idiomas; Fecha: 09-08-2024; Hora: 11:30:21
1 - Joser; Archivo: tiposAloja_Edu.php; Acción: Lista los tipos de alojamiento ; Fecha: 09-08-2024; Hora: 11:37:44
1 - Joser; Archivo: medidasAloja.php; Acción: Lista las medidas de alojamiento; Fecha: 09-08-2024; Hora: 11:40:14
1 - Joser; Archivo: medidasAloja.php; Acción: Lista las medidas de alojamiento; Fecha: 09-08-2024; Hora: 11:40:25
1 - Joser; Archivo: medidasAloja.php; Acción: Lista las medidas de alojamiento; Fecha: 09-08-2024; Hora: 11:40:49
1 - Joser; Archivo: medidasAloja.php; Acción: Lista las medidas de alojamiento; Fecha: 09-08-2024; Hora: 11:44:58
