ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 21-08-2024; Hora: 09:43:49
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login; Fecha: 21-08-2024; Hora: 09:44:11
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login; Fecha: 21-08-2024; Hora: 10:27:41
1 - Joser; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 21-08-2024; Hora: 10:37:15
1 - Joser; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 21-08-2024; Hora: 10:40:29
1 - Joser; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 21-08-2024; Hora: 10:47:55
1 - Joser; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 21-08-2024; Hora: 10:48:10
1 - Joser; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 21-08-2024; Hora: 10:55:52
1 - Joser; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 21-08-2024; Hora: 10:59:04
1 - Joser; Archivo: objetivos.php; Acción: Lista los objetivos; Fecha: 21-08-2024; Hora: 10:59:06
1 - Joser; Archivo: contenido.php; Acción: Lista los contenidos; Fecha: 21-08-2024; Hora: 10:59:06
1 - Joser; Archivo: contenido.php; Acción: Lista los contenidos; Fecha: 21-08-2024; Hora: 11:00:37
1 - Joser; Archivo: contenido.php; Acción: Lista los contenidos; Fecha: 21-08-2024; Hora: 11:00:38
1 - Joser; Archivo: objetivos.php; Acción: Lista los objetivos; Fecha: 21-08-2024; Hora: 11:01:04
1 - Joser; Archivo: contenido.php; Acción: Lista los contenidos; Fecha: 21-08-2024; Hora: 11:01:04
1 - Joser; Archivo: contenido.php; Acción: Lista los contenidos; Fecha: 21-08-2024; Hora: 11:01:15
1 - Joser; Archivo: contenido.php; Acción: Lista los contenidos; Fecha: 21-08-2024; Hora: 11:01:21
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 21-08-2024; Hora: 11:01:37
1 - Joser; Archivo: niveles.php; Acción: Lista los niveles; Fecha: 21-08-2024; Hora: 11:30:52
