ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 27-08-2024; Hora: 09:20:15
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 27-08-2024; Hora: 09:27:43
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 27-08-2024; Hora: 09:29:47
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 27-08-2024; Hora: 09:42:47
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 27-08-2024; Hora: 09:45:19
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 27-08-2024; Hora: 09:45:22
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 27-08-2024; Hora: 09:45:30
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 27-08-2024; Hora: 09:46:55
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 27-08-2024; Hora: 09:50:40
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 27-08-2024; Hora: 10:08:58
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 27-08-2024; Hora: 10:33:17
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 27-08-2024; Hora: 10:37:51
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: ordenTransporte.php; Acción: ACTUALIZA EL PRECINTO A: PRUEB; Fecha: 27-08-2024; Hora: 10:38:08
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 27-08-2024; Hora: 10:40:08
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Mostrar usuarios; Fecha: 27-08-2024; Hora: 10:51:01
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Mostrar usuarios; Fecha: 27-08-2024; Hora: 10:51:31
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: 55; Fecha: 27-08-2024; Hora: 10:51:45
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: 55; Fecha: 27-08-2024; Hora: 10:51:51
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Mostrar usuarios; Fecha: 27-08-2024; Hora: 10:55:51
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: 58; Fecha: 27-08-2024; Hora: 10:56:02
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 27-08-2024; Hora: 11:14:58
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Mostrar usuarios; Fecha: 27-08-2024; Hora: 11:17:25
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: 55; Fecha: 27-08-2024; Hora: 11:17:33
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: 55; Fecha: 27-08-2024; Hora: 11:17:54
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: 56; Fecha: 27-08-2024; Hora: 11:18:08
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 27-08-2024; Hora: 11:19:41
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 27-08-2024; Hora: 11:33:38
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 27-08-2024; Hora: 11:41:46
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 27-08-2024; Hora: 12:04:59
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 27-08-2024; Hora: 12:43:45
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 27-08-2024; Hora: 13:46:05
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 27-08-2024; Hora: 17:14:21
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 27-08-2024; Hora: 17:29:52
