0 - Super; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 29-08-2024; Hora: 09:51:42
0 - Super; Archivo: tiposAloja_Edu.php; Acción: Lista los tipos de alojamiento ; Fecha: 29-08-2024; Hora: 09:51:50
0 - Super; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 29-08-2024; Hora: 09:51:54
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 29-08-2024; Hora: 09:52:10
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 29-08-2024; Hora: 09:52:22
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 29-08-2024; Hora: 09:53:23
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 29-08-2024; Hora: 09:54:41
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 29-08-2024; Hora: 09:55:17
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 29-08-2024; Hora: 09:56:02
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 29-08-2024; Hora: 09:56:39
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 29-08-2024; Hora: 09:56:54
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login; Fecha: 29-08-2024; Hora: 09:56:59
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 29-08-2024; Hora: 09:57:05
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 29-08-2024; Hora: 09:57:30
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 29-08-2024; Hora: 09:57:45
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 29-08-2024; Hora: 09:57:57
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 29-08-2024; Hora: 09:59:28
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 29-08-2024; Hora: 10:01:13
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 29-08-2024; Hora: 10:56:48
