ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 04-09-2024; Hora: 09:11:33
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 04-09-2024; Hora: 09:15:29
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 04-09-2024; Hora: 09:18:01
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 04-09-2024; Hora: 09:28:39
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 04-09-2024; Hora: 09:30:10
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 04-09-2024; Hora: 09:31:01
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 04-09-2024; Hora: 09:31:06
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 04-09-2024; Hora: 09:56:32
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 04-09-2024; Hora: 11:00:50
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 04-09-2024; Hora: 11:00:56
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: ordenTransporte.php; Acción: ACTUALIZA EL CONTENEDOR A: ONEU9108456; Fecha: 04-09-2024; Hora: 11:05:46
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: ordenTransporte.php; Acción: ACTUALIZA EL CONTENEDOR A: ; Fecha: 04-09-2024; Hora: 13:15:01
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: ordenTransporte.php; Acción: ACTUALIZA EL CONTENEDOR A: ; Fecha: 04-09-2024; Hora: 13:15:10
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: ordenTransporte.php; Acción: ACTUALIZA EL PRECINTO A: ; Fecha: 04-09-2024; Hora: 15:57:17
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: ordenTransporte.php; Acción: ACTUALIZA EL PRECINTO A: ; Fecha: 04-09-2024; Hora: 15:57:36
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: ordenTransporte.php; Acción: ACTUALIZA EL PRECINTO A: PRECINTO; Fecha: 04-09-2024; Hora: 15:57:46
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: ordenTransporte.php; Acción: ACTUALIZA EL PRECINTO A: PRECINTO1; Fecha: 04-09-2024; Hora: 15:57:58
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: ordenTransporte.php; Acción: ACTUALIZA EL CONTENEDOR A: ; Fecha: 04-09-2024; Hora: 16:00:27
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: ordenTransporte.php; Acción: ACTUALIZA EL CONTENEDOR A: ; Fecha: 04-09-2024; Hora: 16:00:49
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: ordenTransporte.php; Acción: ACTUALIZA EL CONTENEDOR A: ; Fecha: 04-09-2024; Hora: 16:03:20
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: ordenTransporte.php; Acción: ACTUALIZA EL CONTENEDOR A: CONTENEDOR; Fecha: 04-09-2024; Hora: 16:03:34
ID: 0 - Nombre: Super - IP: 127.0.0.1; Archivo: ordenTransporte.php; Acción: ACTUALIZA EL PRECINTO A: PRECINTO1; Fecha: 04-09-2024; Hora: 16:03:37
