ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 09:11:36
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 09:17:45
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 09:17:57
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 09:18:09
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 05-09-2024; Hora: 09:21:05
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 09:21:55
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 09:21:59
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: ordenTransporte.php; Acción: ACTUALIZA EL CONTENEDOR A: CONTENEDOR1; Fecha: 05-09-2024; Hora: 09:25:22
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 09:34:25
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 09:35:11
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: tickets.php; Acción: Mostrar Tickets; Fecha: 05-09-2024; Hora: 09:36:21
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 09:36:43
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 09:40:27
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 09:41:47
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 09:43:23
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 09:47:37
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login; Fecha: 05-09-2024; Hora: 12:06:44
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 12:59:39
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 15:45:24
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 15:46:04
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 16:08:55
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 16:08:58
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 16:09:06
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 16:09:58
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 16:10:33
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 16:10:35
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 16:10:36
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 16:12:42
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 16:14:04
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: ordenTransporte.php; Acción: ACTUALIZA EL PRECINTO A: ESAB30998; Fecha: 05-09-2024; Hora: 16:14:24
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 16:35:27
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 16:39:19
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 16:39:36
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 16:49:56
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 16:52:12
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 05-09-2024; Hora: 18:01:56
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 18:04:10
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 05-09-2024; Hora: 18:11:33
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login; Fecha: 05-09-2024; Hora: 18:11:45
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 05-09-2024; Hora: 18:11:48
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 05-09-2024; Hora: 18:11:51
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 05-09-2024; Hora: 18:16:34
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 05-09-2024; Hora: 18:17:05
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 05-09-2024; Hora: 18:17:24
