ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 09:23:39
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 09:23:45
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 09:23:55
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 09:27:05
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 09:35:57
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 09:36:22
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 09:40:25
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 09:43:33
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 10:07:36
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 10:10:42
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 10:11:29
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 10:17:21
ID: 55 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 06-09-2024; Hora: 10:18:14
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login; Fecha: 06-09-2024; Hora: 10:18:16
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 10:18:48
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 10:21:25
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 10:29:39
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 10:30:03
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 10:34:53
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 06-09-2024; Hora: 10:35:20
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 10:35:42
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 10:55:43
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 10:57:45
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 11:00:17
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 11:00:56
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 11:01:21
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 11:01:44
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 11:02:11
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 11:05:14
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 11:06:47
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 11:06:51
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 11:07:37
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 11:07:55
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 11:08:13
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 11:08:24
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 11:09:19
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 06-09-2024; Hora: 11:09:27
