ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 09-09-2024; Hora: 09:17:55
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 09-09-2024; Hora: 09:18:35
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 09-09-2024; Hora: 09:18:36
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login; Fecha: 09-09-2024; Hora: 09:18:38
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: transportes.php; Acción: Mostrar Ordenes; Fecha: 09-09-2024; Hora: 09:18:41
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 09-09-2024; Hora: 09:20:32
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login; Fecha: 09-09-2024; Hora: 09:20:41
ID: 1 - Nombre: Joser - IP: 127.0.0.1; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 09-09-2024; Hora: 09:21:15
ID:  - Nombre:  - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login; Fecha: 09-09-2024; Hora: 09:21:29
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 09-09-2024; Hora: 09:22:25
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 09-09-2024; Hora: 09:22:26
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 09-09-2024; Hora: 09:22:26
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 09-09-2024; Hora: 09:22:26
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 09-09-2024; Hora: 09:22:27
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 09-09-2024; Hora: 09:22:27
ID: 59 - Nombre: JACOBO MANZANERA - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se recoge usuario con id: ; Fecha: 09-09-2024; Hora: 09:22:27
