1 - Software; Archivo: testnivel.php; Acción: Lista los test de Nivel; Fecha: 23-10-2024; Hora: 10:39:51
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 23-10-2024; Hora: 10:39:59
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 23-10-2024; Hora: 12:30:19
1 - Software; Archivo: series.php; Acción: Lista las Series; Fecha: 23-10-2024; Hora: 12:39:25
1 - Software; Archivo: series.php; Acción: Lista las Series; Fecha: 23-10-2024; Hora: 12:45:10
1 - Software; Archivo: series.php; Acción: Se elimina la serie 3; Fecha: 23-10-2024; Hora: 12:47:16
1 - Software; Archivo: series.php; Acción: Lista las Series; Fecha: 23-10-2024; Hora: 12:47:16
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 23-10-2024; Hora: 12:47:30
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 23-10-2024; Hora: 13:13:51
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 23-10-2024; Hora: 13:17:44
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 23-10-2024; Hora: 13:18:16
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 23-10-2024; Hora: 13:18:58
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 23-10-2024; Hora: 13:19:42
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 23-10-2024; Hora: 13:20:23
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 23-10-2024; Hora: 13:22:37
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 23-10-2024; Hora: 13:33:03
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 23-10-2024; Hora: 13:34:08
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 23-10-2024; Hora: 13:38:01
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 23-10-2024; Hora: 13:38:08
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 23-10-2024; Hora: 13:53:16
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 23-10-2024; Hora: 15:41:54
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 23-10-2024; Hora: 15:42:47
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 23-10-2024; Hora: 15:48:59
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 23-10-2024; Hora: 15:56:03
