1 - Software; Archivo: actividades_edu.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 09:51:40
1 - Software; Archivo: actividades_edu.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 11:38:22
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 29-10-2024; Hora: 11:43:40
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 29-10-2024; Hora: 11:48:16
1 - Software; Archivo: actividades_edu.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 11:48:30
1 - Software; Archivo: actividades_edu.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 11:55:26
1 - Software; Archivo: actividades_edu.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 12:20:26
1 - Software; Archivo: actividades_edu.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 12:34:09
1 - Software; Archivo: actividades_edu.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 12:34:12
1 - Software; Archivo: actividades_edu.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 13:09:49
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 13:43:13
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 13:48:56
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los profesorados; Fecha: 29-10-2024; Hora: 13:54:04
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 13:57:25
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los profesorados; Fecha: 29-10-2024; Hora: 13:57:32
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los profesorados; Fecha: 29-10-2024; Hora: 15:42:18
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 15:42:18
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los profesorados; Fecha: 29-10-2024; Hora: 16:09:00
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 16:09:00
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 16:09:13
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los profesorados; Fecha: 29-10-2024; Hora: 16:09:36
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 16:09:37
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 16:09:40
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 16:11:41
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 16:16:31
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 16:18:45
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 16:18:49
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 16:26:23
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 16:44:04
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 16:44:46
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 16:44:48
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 16:46:18
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 16:46:39
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 16:52:44
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 17:03:23
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 17:03:39
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 17:06:14
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 17:07:14
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 17:08:00
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 17:08:52
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 17:10:23
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 17:37:19
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 17:45:34
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 17:45:37
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 29-10-2024; Hora: 18:03:43
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad undefined; Fecha: 29-10-2024; Hora: 18:05:09
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad undefined; Fecha: 29-10-2024; Hora: 18:05:39
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad undefined; Fecha: 29-10-2024; Hora: 18:06:35
