
2 - Software Admin Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 2; Fecha: 04-11-2024; Hora: 17:22:30
2 - Software Admin Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 04-11-2024; Hora: 17:23:10
2 - Software Admin Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 2; Fecha: 04-11-2024; Hora: 17:23:20
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 04-11-2024; Hora: 09:09:51
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 04-11-2024; Hora: 10:36:11
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 04-11-2024; Hora: 11:13:53
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 04-11-2024; Hora: 11:14:06
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 04-11-2024; Hora: 11:14:50
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 04-11-2024; Hora: 11:49:42
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 04-11-2024; Hora: 11:51:07
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 04-11-2024; Hora: 11:55:51
