1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 21-11-2024; Hora: 13:35:38
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 1; Fecha: 21-11-2024; Hora: 13:35:47
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 21-11-2024; Hora: 13:35:49
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 21-11-2024; Hora: 13:36:00
1 - Software; Archivo: medios.php; Acción: Lista los medios de pago; Fecha: 21-11-2024; Hora: 08:03:52
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 21-11-2024; Hora: 08:03:59
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 21-11-2024; Hora: 08:07:02
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 21-11-2024; Hora: 08:07:12
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 21-11-2024; Hora: 08:07:44
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 21-11-2024; Hora: 08:08:27
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 21-11-2024; Hora: 08:08:43
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 21-11-2024; Hora: 08:19:03
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 21-11-2024; Hora: 08:19:15
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 21-11-2024; Hora: 08:19:29
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 21-11-2024; Hora: 08:22:20
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: empresa.php; Acción: Listar datos de empresa; Fecha: 21-11-2024; Hora: 08:24:28
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 21-11-2024; Hora: 11:47:23
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 21-11-2024; Hora: 15:54:33
1 - Software; Archivo: actividades.php; Acción: Inserta Actividades; Fecha: 21-11-2024; Hora: 16:46:31
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 21-11-2024; Hora: 16:46:35
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 21-11-2024; Hora: 16:47:08
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 21-11-2024; Hora: 16:52:44
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 21-11-2024; Hora: 17:27:25
1 - Software; Archivo: actividades.php; Acción: Edita Actividades2 Concurso de paellas; Fecha: 21-11-2024; Hora: 17:35:43
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 21-11-2024; Hora: 17:35:46
1 - Software; Archivo: actividades.php; Acción: Edita Actividades4 EWWWEEEDDD; Fecha: 21-11-2024; Hora: 17:42:41
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 21-11-2024; Hora: 17:42:43
1 - Software; Archivo: actividades.php; Acción: Edita Actividades4 EWWWEEEDDD; Fecha: 21-11-2024; Hora: 17:42:53
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 21-11-2024; Hora: 17:42:55
1 - Software; Archivo: actividades.php; Acción: Edita Actividade 4 EWWWEEEDDD; Fecha: 21-11-2024; Hora: 18:10:19
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 21-11-2024; Hora: 18:10:21
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 21-11-2024; Hora: 18:10:26
1 - Software; Archivo: actividades.php; Acción: La actividad 4fue desactivada; Fecha: 21-11-2024; Hora: 18:10:30
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 21-11-2024; Hora: 18:10:34
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 21-11-2024; Hora: 18:11:09
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 21-11-2024; Hora: 18:24:55
