
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 09:15:18
1 - Software; Archivo: tipoCurso_Edu.php; Acción: Lista los tipos de curso; Fecha: 22-11-2024; Hora: 10:06:04
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 10:09:18
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 10:12:47
1 - Software; Archivo: actividades.php; Acción: Inserta Actividades; Fecha: 22-11-2024; Hora: 11:17:51
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 11:17:54
1 - Software; Archivo: actividades.php; Acción: Inserta Actividades; Fecha: 22-11-2024; Hora: 11:19:47
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 11:19:57
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 11:20:55
1 - Software; Archivo: actividades.php; Acción: Inserta Actividades; Fecha: 22-11-2024; Hora: 12:55:29
1 - Software; Archivo: actividades.php; Acción: Inserta Actividades; Fecha: 22-11-2024; Hora: 12:58:16
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 13:08:09
1 - Software; Archivo: actividades.php; Acción: Edita Actividades8 Albufera 231003; Fecha: 22-11-2024; Hora: 13:34:15
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 13:34:17
1 - Software; Archivo: actividades.php; Acción: Edita Actividades8 Albufera 231003; Fecha: 22-11-2024; Hora: 13:36:51
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 13:38:09
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 13:40:26
1 - Software; Archivo: actividades.php; Acción: Edita Actividades8 Albufera 231003; Fecha: 22-11-2024; Hora: 13:40:59
1 - Software; Archivo: actividades.php; Acción: Edita Actividades8 Albufera 231003; Fecha: 22-11-2024; Hora: 13:41:07
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 13:41:10
1 - Software; Archivo: actividades.php; Acción: Edita Actividades8 Albufera 231003; Fecha: 22-11-2024; Hora: 13:45:14
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 13:45:17
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 13:45:50
1 - Software; Archivo: actividades.php; Acción: Edita Actividades8 Albufera 231003; Fecha: 22-11-2024; Hora: 13:47:05
1 - Software; Archivo: actividades.php; Acción: Edita Actividades8 Albufera 231003; Fecha: 22-11-2024; Hora: 13:49:07
1 - Software; Archivo: actividades.php; Acción: Edita Actividades8 Albufera 231003; Fecha: 22-11-2024; Hora: 13:50:33
1 - Software; Archivo: actividades.php; Acción: Edita Actividades8 Albufera 231003; Fecha: 22-11-2024; Hora: 13:53:43
1 - Software; Archivo: actividades.php; Acción: Edita Actividades8 Albufera 231003; Fecha: 22-11-2024; Hora: 13:54:31
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 13:54:33
1 - Software; Archivo: actividades.php; Acción: Edita Actividades8 Albufera 231003; Fecha: 22-11-2024; Hora: 13:57:26
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 13:57:29
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 16:20:38
1 - Software; Archivo: actividades.php; Acción: Edita Actividades8 Albufera 231003; Fecha: 22-11-2024; Hora: 16:20:54
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 16:20:58
1 - Software; Archivo: actividades.php; Acción: Edita Actividades8 Albufera 231003; Fecha: 22-11-2024; Hora: 16:23:42
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 16:43:29
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 16:46:15
1 - Software; Archivo: actividades.php; Acción: Edita Actividades8 Albufera 231003; Fecha: 22-11-2024; Hora: 16:48:37
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 16:48:40
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 16:56:04
1 - Software; Archivo: actividades.php; Acción: Edita Actividades8 Albufera 231003; Fecha: 22-11-2024; Hora: 16:56:17
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 22-11-2024; Hora: 16:56:20
