ID: 2 - Nombre: Jose - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login Alumno; Fecha: 17-12-2024; Hora: 08:31:02
ID: 2 - Nombre: Jose - IP: 127.0.0.1; Archivo: logout.php; Acción: Sesión cerrada; Fecha: 17-12-2024; Hora: 08:53:04
ID: 1 - Nombre: Software - IP: 127.0.0.1; Archivo: usuario.php; Acción: Se hace login; Fecha: 17-12-2024; Hora: 09:03:12
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 17-12-2024; Hora: 09:03:19
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 17-12-2024; Hora: 09:03:19
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 17-12-2024; Hora: 09:03:36
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 17-12-2024; Hora: 09:03:36
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 17-12-2024; Hora: 09:21:34
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 17-12-2024; Hora: 09:21:49
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 17-12-2024; Hora: 09:21:49
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 17-12-2024; Hora: 09:31:33
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 17-12-2024; Hora: 09:31:33
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 17-12-2024; Hora: 09:31:45
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 17-12-2024; Hora: 09:31:45
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 17-12-2024; Hora: 09:32:51
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 17-12-2024; Hora: 09:32:51
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 17-12-2024; Hora: 09:32:55
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 17-12-2024; Hora: 09:32:55
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 17-12-2024; Hora: 09:49:09
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 17-12-2024; Hora: 09:49:09
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 17-12-2024; Hora: 09:49:13
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 17-12-2024; Hora: 09:49:13
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 17-12-2024; Hora: 09:49:25
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 17-12-2024; Hora: 09:49:25
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 17-12-2024; Hora: 09:52:56
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 17-12-2024; Hora: 09:52:56
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 17-12-2024; Hora: 09:52:59
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 17-12-2024; Hora: 09:52:59
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 17-12-2024; Hora: 10:02:14
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 17-12-2024; Hora: 10:02:14
