ID:  - Nombre:  - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 03-01-2025; Hora: 08:27:12
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 03-01-2025; Hora: 08:27:19
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 03-01-2025; Hora: 08:31:33
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 03-01-2025; Hora: 08:31:35
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 03-01-2025; Hora: 08:46:49
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 03-01-2025; Hora: 08:49:05
1 - Software; Archivo: personal_Edu.php; Acción: Se inserta un nuevo personal; Fecha: 03-01-2025; Hora: 09:10:24
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 03-01-2025; Hora: 09:10:24
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 03-01-2025; Hora: 09:10:28
1 - Software; Archivo: personal_Edu.php; Acción: Se inserta un nuevo personal; Fecha: 03-01-2025; Hora: 09:12:23
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 03-01-2025; Hora: 09:12:23
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 03-01-2025; Hora: 09:14:20
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 03-01-2025; Hora: 09:19:52
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 03-01-2025; Hora: 09:19:54
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 03-01-2025; Hora: 09:20:01
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 03-01-2025; Hora: 09:20:46
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 03-01-2025; Hora: 09:32:12
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 03-01-2025; Hora: 09:32:14
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 03-01-2025; Hora: 09:32:17
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 03-01-2025; Hora: 09:32:18
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 03-01-2025; Hora: 09:32:19
1 - Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 03-01-2025; Hora: 09:33:06
