ID: 7 - Nombre: José - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 16-01-2025; Hora: 08:19:10
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 16-01-2025; Hora: 08:26:01
ID: 7 - Nombre: José - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 16-01-2025; Hora: 12:26:07
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 12:26:15
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 12:26:17
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 12:27:15
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 16-01-2025; Hora: 12:28:15
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 12:28:22
1 - Software; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 12:28:24
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 12:28:28
1 - Software; Archivo: actividades.php; Acción: Edita Actividades9 La esquina; Fecha: 16-01-2025; Hora: 12:28:48
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 12:28:50
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 12:28:51
7 - José; Archivo: actividades.php; Acción: Lista los alumnos apuntados en la actividad 9; Fecha: 16-01-2025; Hora: 12:28:53
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 12:28:59
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 12:38:25
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 12:50:09
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 13:06:49
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 13:12:35
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 13:13:07
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 13:17:08
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 13:17:45
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 13:17:54
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 13:18:01
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 13:18:04
ID: 1 - Nombre: Software - IP: 192.168.31.89; Archivo: usuario.php; Acción: Se hace login; Fecha: 16-01-2025; Hora: 13:18:41
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 13:18:45
1 - Software; Archivo: actividades.php; Acción: Edita Actividades9 La esquina; Fecha: 16-01-2025; Hora: 13:18:54
1 - Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 13:18:55
7 - José; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 16-01-2025; Hora: 13:18:56
