2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:20:54
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:20:54
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:20:54
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:20:54
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:22:44
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:22:44
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:22:44
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:22:44
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:22:45
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:22:45
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:22:45
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:22:45
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:35:04
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:35:04
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:35:04
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:35:04
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:37:41
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:37:41
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:37:41
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:37:41
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:37:42
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:37:42
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:37:42
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:37:42
ID: 1 - Nombre: Software - IP: 192.168.31.3; Archivo: usuario.php; Acción: Se hace login; Fecha: 23-05-2025; Hora: 09:49:54
1 - Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:49:57
1 - Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:49:57
1 - Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:49:57
1 - Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:49:57
1 - Software; Archivo: tiposAloja_Edu.php; Acción: Lista los tipos de alojamiento ; Fecha: 23-05-2025; Hora: 09:50:12
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:54:40
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:54:40
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:54:40
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:54:40
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:54:42
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:54:42
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:54:42
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:54:42
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:56:31
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:56:31
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:56:31
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 09:56:31
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:26:46
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:26:46
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:26:46
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:26:46
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:27:11
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:27:11
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:27:11
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:27:11
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:27:30
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:27:30
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:27:30
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:27:30
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:27:47
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:27:47
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:27:48
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:27:48
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:27:54
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:27:54
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:27:55
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:27:55
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:28:32
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:28:32
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:28:32
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:28:32
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:28:38
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:28:38
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:28:38
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:28:38
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:30:52
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:30:52
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:30:52
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:30:52
2 - Software Admin Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 23-05-2025; Hora: 10:31:59
 - Software Admin Software; Archivo: asistencia.php; Acción: Lista las asistencias; Fecha: 23-05-2025; Hora: 10:32:03
2 - Software Admin Software; Archivo: personal_Edu.php; Acción: Lista los personales; Fecha: 23-05-2025; Hora: 10:32:05
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:32:32
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:32:32
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:32:33
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:32:33
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:34:11
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:34:11
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:34:11
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:34:11
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:34:38
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:34:38
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:34:38
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:34:38
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:39:06
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:39:06
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:39:06
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:39:06
2 - Software Admin Software; Archivo: tiposAloja_Edu.php; Acción: Lista los tipos de alojamiento ; Fecha: 23-05-2025; Hora: 10:40:48
2 - Software Admin Software; Archivo: actividades.php; Acción: Lista las actividades de los adminitradores; Fecha: 23-05-2025; Hora: 10:40:51
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:41:19
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:41:19
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:41:19
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:41:19
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:44:57
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:44:57
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:44:57
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:44:57
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:45:32
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:45:32
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:45:32
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:45:32
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:51:45
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:51:45
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:51:59
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:51:59
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:52:00
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:52:00
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:52:10
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:52:10
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:52:10
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:52:10
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:55:38
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:55:38
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:55:39
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:55:39
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:58:47
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:58:47
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:58:47
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 10:58:47
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 11:00:38
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 11:00:38
2 - Software Admin Software; Archivo: alojamientos.php; Acción: Lista los alojamientos; Fecha: 23-05-2025; Hora: 11:00:38
