1 - Software; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 14-10-2025; Hora: 00:10:46
1 - Software; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 14-10-2025; Hora: 00:12:51
1 - Software; Archivo: actividades.php; Acción: Lista las actividades del usuario; Fecha: 14-10-2025; Hora: 00:19:54
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 14-10-2025; Hora: 00:21:48
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 14-10-2025; Hora: 00:21:48
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 14-10-2025; Hora: 00:23:04
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 14-10-2025; Hora: 00:23:04
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 14-10-2025; Hora: 00:24:06
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 14-10-2025; Hora: 00:24:06
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 14-10-2025; Hora: 00:24:48
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 14-10-2025; Hora: 00:24:49
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 14-10-2025; Hora: 00:25:21
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 14-10-2025; Hora: 00:25:21
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 14-10-2025; Hora: 00:30:16
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 14-10-2025; Hora: 00:30:16
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 14-10-2025; Hora: 00:30:41
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 14-10-2025; Hora: 00:30:41
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 14-10-2025; Hora: 00:31:44
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 14-10-2025; Hora: 00:31:44
ID: 1 - Nombre: Software - IP: 192.168.31.3; Archivo: usuario.php; Acción: Se hace login; Fecha: 14-10-2025; Hora: 13:39:24
ID: 1 - Nombre: Software - IP: 192.168.31.3; Archivo: usuario.php; Acción: Se hace login; Fecha: 14-10-2025; Hora: 15:17:14
1 - Software; Archivo: pagos.php; Acción: Recoger los medios de pago; Fecha: 14-10-2025; Hora: 15:17:26
1 - Software; Archivo: tarifaAloja.php; Acción: Lista las tarifas de alojamiento; Fecha: 14-10-2025; Hora: 15:17:26
