Archivos,,,,,,,,,,,,
ID,Código,Nombre,Medida,Importe,Descuento,Cuenta Contable 1,Cuenta Contable 2,Cuenta Contable 3,Tipo,IVA,Estado,Acción
2817,com,Agente,,0 €,10 %,705000000000,555000000000,555500000000,Alojamiento,16 %,Activo,
2819,fad0,"Alojamiento en familia, AD",,0 €,0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2820,fad1,"Alojamiento en familia, AD",1 semana,200 €,0 %,705100000000,752100000001,752100000001,Alojamiento,%,Activo,
2821,fad10,"Alojamiento en familia, AD",10 semanas,"1.850,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2822,fad11,"Alojamiento en familia, AD",11 semanas,"2.030,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2823,fad12,"Alojamiento en familia, AD",12 semanas,"2.210,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2824,fad13,"Alojamiento en familia, AD",13 semanas,"2.390,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2825,fad14,"Alojamiento en familia, AD",14 semanas,"2.570,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2826,fad15,"Alojamiento en familia, AD",15 semanas,"2.750,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2827,fad16,"Alojamiento en familia, AD",16 semanas,"2.930,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2828,fad17,"Alojamiento en familia, AD",17 semanas,"3.110,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2831,fad2,"Alojamiento en familia, AD",2 semanas,390 €,0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2832,fad20,"Alojamiento en familia, AD",20 semanas,"3.650,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2833,fad21,"Alojamiento en familia, AD",21 semanas,"3.830,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2834,fad22,"Alojamiento en familia, AD",22 semanas,"4.010,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2835,fad23,"Alojamiento en familia, AD",23 semanas,"4.190,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2836,fad24,"Alojamiento en familia, AD",24 semanas,"4.370,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2837,fad25,"Alojamiento en familia, AD",25 semanas,"4.550,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2838,fad26,"Alojamiento en familia, AD",26 semanas,"4.730,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2839,fad27,"Alojamiento en familia, AD",27 semanas,"4.910,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2840,fad28,"Alojamiento en familia, AD",28 semanas,"5.090,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2841,fad29,"Alojamiento en familia, AD",29 semanas,"5.270,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2842,fad3,"Alojamiento en familia, AD",3 semanas,580 €,0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2843,fad30,"Alojamiento en familia, AD",30 semanas,"5.450,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2844,fad31,"Alojamiento en familia, AD",31 semanas,"5.630,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2845,fad32,"Alojamiento en familia, AD",32 semanas,"5.810,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2846,fad33,"Alojamiento en familia, AD",33 semanas,"5.990,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2847,fad34,"Alojamiento en familia, AD",34 semanas,"6.170,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2848,fad35,"Alojamiento en familia, AD",35 semanas,"6.350,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2849,fad36,"Alojamiento en familia, AD",36 semanas,"6.530,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2850,fad37,"Alojamiento en familia, AD",37 semanas,"6.710,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2851,fad38,"Alojamiento en familia, AD",38 semanas,"6.890,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2852,fad39,"Alojamiento en familia, AD",39 semanas,"7.070,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2853,fad4,"Alojamiento en familia, AD",4 semanas,770 €,0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2854,fad40,"Alojamiento en familia, AD",40 semanas,"7.250,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2855,fad41,"Alojamiento en familia, AD",41 semanas,"7.430,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2856,fad42,"Alojamiento en familia, AD",42 semanas,"7.610,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2857,fad43,"Alojamiento en familia, AD",43 semanas,"7.790,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2858,fad44,"Alojamiento en familia, AD",44 semanas,"7.970,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2859,fad45,"Alojamiento en familia, AD",45 semanas,"8.150,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2860,fad46,"Alojamiento en familia, AD",46 semanas,"8.330,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2861,fad47,"Alojamiento en familia, AD",47 semanas,"8.510,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2862,fad48,"Alojamiento en familia, AD",48 semanas,"8.690,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2863,fad49,"Alojamiento en familia, AD",49 semanas,"8.870,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2864,fad5,"Alojamiento en familia, AD",5 semanas,950 €,0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2865,fad50,"Alojamiento en familia, AD",50 semanas,"9.050,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2866,fad51,"Alojamiento en familia, AD",51 semanas,"9.230,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2867,fad52,"Alojamiento en familia, AD",52 semanas,"9.410,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2868,fad53,"Alojamiento en familia, AD",53 semanas,"9.590,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2869,fad6,"Alojamiento en familia, AD",6 semanas,"1.130,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2870,fad7,"Alojamiento en familia, AD",7 semanas,"1.310,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2871,fad8,"Alojamiento en familia, AD",8 semanas,"1.490,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2872,fad9,"Alojamiento en familia, AD",9 semanas,"1.670,00 €",0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2873,fade,"Alojamiento en familia, AD",1,28 €,0 %,705100000000,752100000001,752100000001,Alojamiento,16 %,Activo,
2874,fade2,"Alojamiento en familia, AD",2,56 €,0 %,705100000000,752000000004,752000000004,Alojamiento,16 %,Activo,
2875,fade3,"Alojamiento en familia, AD",3,84 €,0 %,705100000000,752000000004,752000000004,Alojamiento,16 %,Activo,
2876,fade4,"Alojamiento en familia, AD",4,112 €,0 %,705100000000,752000000004,752000000004,Alojamiento,16 %,Activo,
2877,fade5,"Alojamiento en familia, AD",5,140 €,0 %,705100000000,752000000004,752000000004,Alojamiento,16 %,Activo,
2878,fade6,"Alojamiento en familia, AD",6,168 €,0 %,705100000000,752000000004,752000000004,Alojamiento,16 %,Activo,
2879,fmp0,"Alojamiento en familia, MP",,0 €,0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2880,fmp1,"Alojamiento en familia, MP",1 semana,220 €,0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2881,fmp10,"Alojamiento en familia, MP",10 semanas,"2.050,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2882,fmp11,"Alojamiento en familia, MP",11 semanas,"2.250,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2883,fmp12,"Alojamiento en familia, MP",12 semanas,"2.450,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2884,fmp13,"Alojamiento en familia, MP",13 semanas,"2.650,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2885,fmp14,"Alojamiento en familia, MP",14 semanas,"2.850,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2886,fmp15,"Alojamiento en familia, MP",15 semanas,"3.050,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2887,fmp16,"Alojamiento en familia, MP",16 semanas,"3.250,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2888,fmp17,"Alojamiento en familia, MP",17 semanas,"3.450,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2889,fmp18,"Alojamiento en familia, MP",18 semanas,"3.650,00 €",10 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2890,fmp19,"Alojamiento en familia, MP",19 semanas,"3.850,00 €",10 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2891,fmp2,"Alojamiento en familia, MP",2 semanas,430 €,10 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2892,fmp20,"Alojamiento en familia, MP",20 semanas,"4.050,00 €",10 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2893,fmp21,"Alojamiento en familia, MP",21 semanas,"4.250,00 €",10 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2894,fmp22,"Alojamiento en familia, MP",22 semanas,"4.450,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2895,fmp23,"Alojamiento en familia, MP",23 semanas,"4.650,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2896,fmp24,"Alojamiento en familia, MP",24 semanas,"4.850,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2897,fmp25,"Alojamiento en familia, MP",25 semanas,"5.050,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2898,fmp26,"Alojamiento en familia, MP",26 semanas,"5.250,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
2899,fmp27,"Alojamiento en familia, MP",27 semanas,"5.450,00 €",0 %,705100000000,752100000002,752100000002,Alojamiento,16 %,Activo,
